"","Package","LibPath","Version","Priority","Built"
"askpass","askpass","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.1",NA,"4.2.1"
"assertthat","assertthat","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.2.1",NA,"4.2.1"
"backports","backports","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.4.1",NA,"4.2.0"
"base64enc","base64enc","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.1-3",NA,"4.2.0"
"bit","bit","C:/Users/messanks/AppData/Local/R/win-library/4.2","4.0.4",NA,"4.2.1"
"bit64","bit64","C:/Users/messanks/AppData/Local/R/win-library/4.2","4.0.5",NA,"4.2.1"
"blob","blob","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.2.3",NA,"4.2.1"
"brew","brew","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.0-7",NA,"4.2.1"
"brio","brio","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.1.3",NA,"4.2.1"
"broom","broom","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.0.0",NA,"4.2.1"
"bslib","bslib","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.4.0",NA,"4.2.1"
"cachem","cachem","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.0.6",NA,"4.2.1"
"callr","callr","C:/Users/messanks/AppData/Local/R/win-library/4.2","3.7.1",NA,"4.2.1"
"cellranger","cellranger","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.1.0",NA,"4.2.1"
"cli","cli","C:/Users/messanks/AppData/Local/R/win-library/4.2","3.3.0",NA,"4.2.1"
"clipr","clipr","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.8.0",NA,"4.2.1"
"colorspace","colorspace","C:/Users/messanks/AppData/Local/R/win-library/4.2","2.0-3",NA,"4.2.1"
"commonmark","commonmark","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.8.0",NA,"4.2.1"
"cpp11","cpp11","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.4.2",NA,"4.2.1"
"crayon","crayon","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.5.1",NA,"4.2.1"
"credentials","credentials","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.3.2",NA,"4.2.1"
"curl","curl","C:/Users/messanks/AppData/Local/R/win-library/4.2","4.3.2",NA,"4.2.1"
"data.table","data.table","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.14.2",NA,"4.2.1"
"DBI","DBI","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.1.3",NA,"4.2.1"
"dbplyr","dbplyr","C:/Users/messanks/AppData/Local/R/win-library/4.2","2.2.1",NA,"4.2.1"
"desc","desc","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.4.1",NA,"4.2.1"
"devtools","devtools","C:/Users/messanks/AppData/Local/R/win-library/4.2","2.4.4",NA,"4.2.1"
"diffobj","diffobj","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.3.5",NA,"4.2.1"
"digest","digest","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.6.29",NA,"4.2.1"
"downlit","downlit","C:/Users/messanks/AppData/Local/R/win-library/4.2","0.4.2",NA,"4.2.1"
"dplyr","dplyr","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.0.9",NA,"4.2.1"
"dtplyr","dtplyr","C:/Users/messanks/AppData/Local/R/win-library/4.2","1.2.1",NA,"4.2.1"
